n,per_wk,net,netb,gross,t,green,flat,redstreak,worst,best,total,mdd,wk_mean,green_mo,ex5,imp,cell,split,tc,cost,corr_after,h1,h2,vgross,half_ok,note
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,R1/R2 B2 shipped (pop.csv),TRAIN,-2.9931691681122707,0.06798002849533383,,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,R1/R2 B2 shipped (pop.csv),VAL,0.26162959495333094,0.07006955092013452,,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,R3b B2 rebuilt (this pass),TRAIN,-2.9931691681122707,0.06798002849533383,0.3691539338700026,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,R3b B2 rebuilt (this pass),VAL,0.26162959495333094,0.07006955092013452,0.37663502418077416,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
1622,30.60377358490566,-0.10693921533680749,-0.13987097723625172,-0.03895918684147366,-3.4158001457905294,32.075471698113205,1.8867924528301887,5,-2231.432721493132,1814.8908985813755,-17345.540727630174,-18928.988592607817,-327.27435335151273,25.0,-0.21816972125039877,49.136868064118374,F5-0 first break only (=B2),TRAIN,-2.9931691681122707,0.06798002849533383,0.3691539338700026,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
706,30.695652173913043,0.012650779374544391,-0.02591279892455078,0.08272033029467893,0.2678074312316802,43.47826086956522,4.3478260869565215,4,-957.3728770391667,1410.7525100988917,893.1450238428342,-2940.0336675961444,38.83239234099279,40.0,-0.09302888820971138,57.082152974504254,F5-0 first break only (=B2),VAL,0.26162959495333094,0.07006955092013452,0.37663502418077416,-0.07672468367398727,-0.0031885061681804477,0.08272033029467893,False,
106,2.0,0.07553772803517435,0.013737459989257824,0.15360249804444281,0.5552513995870856,39.62264150943396,16.9811320754717,3,-482.1357952439031,823.2907238643772,800.6999171728473,-1036.2136202143126,15.107545607034856,66.66666666666666,-0.038226424128915255,77.35849056603774,"F5-a 2nd, prev STOPPED",TRAIN,0.5484531376295545,0.07806477000926848,0.4568252478914713,0.3209251880072714,-0.007523055253095903,0.014144816778901647,False,
86,3.739130434782609,-0.06749014159358145,-0.13363390005983405,0.014144816778901647,-0.4779283355199297,47.82608695652174,8.695652173913043,5,-463.7635706417783,241.50490202069238,-580.4152177048006,-1193.229089138282,-25.23544424803481,60.0,-0.1926519688310432,73.25581395348837,"F5-a 2nd, prev STOPPED",VAL,-0.448464872454059,0.0816349583724831,0.6494513638421204,0.3209251880072714,-0.007523055253095903,0.014144816778901647,False,
627,11.830188679245284,-0.15060108401774933,-0.21745054008081321,-0.06908615640568237,-2.94724627187148,30.18867924528302,1.8867924528301887,12,-1142.9198813154394,784.4173568972247,-9442.687967912882,-9797.692421618785,-178.16392392288455,25.0,-0.2646117554493974,82.45614035087719,"F5-b 2nd, prev back<5 bars",TRAIN,-2.696420677235668,0.08151492761206695,0.333521568969852,-0.007096553425554289,-0.11814649933566947,-0.005022646851098539,False,
402,17.47826086956522,-0.08944545158905824,-0.16434351255545207,-0.005022646851098539,-1.3831800617783496,34.78260869565217,4.3478260869565215,9,-1069.4783957990787,856.7039898526793,-3595.7071538801397,-4694.007896970992,-156.3350936469626,40.0,-0.20292664769205454,84.82587064676616,"F5-b 2nd, prev back<5 bars",VAL,-1.172521815496807,0.08442280473795968,0.307849108612651,-0.007096553425554289,-0.11814649933566947,-0.005022646851098539,False,
631,11.90566037735849,-0.14722510897248903,-0.2140896235856208,-0.06562729585544201,-2.8842535599231804,30.18867924528302,1.8867924528301887,12,-1230.2201871444465,784.4173568972247,-9289.904376164059,-9644.90882986996,-175.2812146446049,25.0,-0.26029408777112384,82.56735340729001,"F5-c 2nd, prev back<15 bars",TRAIN,-2.643886452175246,0.08159781311704703,0.33648326976340237,0.000123218349357777,-0.11740815406772057,-0.00046543292075028727,False,
402,17.47826086956522,-0.08482452340768934,-0.15974236739981,-0.00046543292075028727,-1.3077766618385158,39.130434782608695,4.3478260869565215,9,-1069.4783957990787,856.7039898526793,-3409.9458409891104,-4694.007896970992,-148.2585148256135,40.0,-0.19805102268179128,84.82587064676616,"F5-c 2nd, prev back<15 bars",VAL,-1.1132748984626752,0.08435909048693904,0.3074527815731003,0.000123218349357777,-0.11740815406772057,-0.00046543292075028727,False,
631,11.90566037735849,-0.14722510897248903,-0.2140896235856208,-0.06562729585544201,-2.8842535599231804,30.18867924528302,1.8867924528301887,12,-1230.2201871444465,784.4173568972247,-9289.904376164059,-9644.90882986996,-175.2812146446049,25.0,-0.26029408777112384,82.56735340729001,"F5-d 2nd, stopped OR back15",TRAIN,-2.643886452175246,0.08159781311704703,0.33648326976340237,0.000123218349357777,-0.11740815406772057,-0.00046543292075028727,False,
402,17.47826086956522,-0.08482452340768934,-0.15974236739981,-0.00046543292075028727,-1.3077766618385158,39.130434782608695,4.3478260869565215,9,-1069.4783957990787,856.7039898526793,-3409.9458409891104,-4694.007896970992,-148.2585148256135,40.0,-0.19805102268179128,84.82587064676616,"F5-d 2nd, stopped OR back15",VAL,-1.1132748984626752,0.08435909048693904,0.3074527815731003,0.000123218349357777,-0.11740815406772057,-0.00046543292075028727,False,
1974,37.24528301886792,-0.08735928779353094,-0.16464816628861642,-0.0021323564362422704,-3.00780066892924,37.735849056603776,1.8867924528301887,11,-3092.2238704466513,1760.2719000429563,-17244.723410443006,-22732.987548632944,-325.3721398196794,33.33333333333333,-0.19589937987518563,96.403242147923,F5-e ANY re-break [ctrl],TRAIN,-2.3612013283050017,0.08522693135728868,0.316021738400831,-0.004085422614999153,-0.00038191383799044125,-0.018852574300737262,False,
888,38.608695652173914,-0.1045560494489807,-0.1856985286396258,-0.018852574300737262,-2.4669460740811626,39.130434782608695,4.3478260869565215,3,-2715.6477776036245,1082.7216871052658,-9284.577191069486,-10480.876553230992,-403.67726917693415,0.0,-0.21500024893912378,97.86036036036036,F5-e ANY re-break [ctrl],VAL,-2.126707236193558,0.08570347514824346,0.3753488496971801,-0.004085422614999153,-0.00038191383799044125,-0.018852574300737262,False,
2050,38.679245283018865,-0.06997798014200539,-0.1484243307994333,0.015218290509210702,-2.392875076279267,33.9622641509434,1.8867924528301887,8,-3203.040844182537,2126.12933195444,-14345.485929111104,-18866.581895327774,-270.669545832285,33.33333333333333,-0.17781814740397822,96.39024390243902,F5-f 3rd+ break [ctrl],TRAIN,-1.7947279039652846,0.0851962706512161,0.30671705150667183,0.011961456353150768,0.018047609516252745,0.08022006629193171,True,
