Index,day,symbol,entry_m,exit_m,entry,stop,target,r_pct,rr,why,level,dist_open_pct,rv_profile,adv20,is_wrapper,price,split,wk
22,2025-01-10,NINE,577,579,1.4,1.37,1.4599999999999995,2.142857142857129,-1.04566666666667,stop,1.41,5.223880597014907,1.0356459828410014,3262987.6,0,1.4,TRAIN,2025-01-04/2025-01-10
14,2025-01-10,ITCI,578,955,94.82,91.55,101.36,3.4486395275258346,0.0366972477064234,eod,94.46,9.347687677258776,1.766415529873101,543077.2,0,94.82,TRAIN,2025-01-04/2025-01-10
29,2025-01-10,PSMT,580,955,88.02,86.4,91.25999999999998,1.8404907975460008,1.1851851851851931,eod,88.0,7.317073170731714,4.07168054209447,219356.6,0,88.02,TRAIN,2025-01-04/2025-01-10
16,2025-01-10,LPSN,583,626,1.3899,1.335,1.4996999999999998,3.949924454996759,2.0,target,1.39,6.1068702290076216,1.4209686344483148,10572541.6,0,1.3899,TRAIN,2025-01-04/2025-01-10
42,2025-01-10,WBA,584,955,11.315,10.97,12.004999999999995,3.049049933716296,1.3623188405797164,eod,11.275,6.367924528301905,1.38059568311048,19085167.6,0,11.315,TRAIN,2025-01-04/2025-01-10
23,2025-01-10,NMTC,627,630,1.1389,1.12,1.1767,1.6594960049170178,2.0,target,1.14,5.555555555555536,3.729558972602321,244234.4,0,1.1389,TRAIN,2025-01-04/2025-01-10
24,2025-01-10,NRXP,630,655,4.231,4.1,4.493,3.096194753013477,2.0,target,4.26,13.297872340425542,1.107362170750254,5416438.2,0,4.231,TRAIN,2025-01-04/2025-01-10
18,2025-01-10,MLSS,657,711,1.21,1.185,1.2599999999999998,2.0661157024793315,-1.0474,stop,1.21,9.009009009009006,1.4424388726288948,518348.6,0,1.21,TRAIN,2025-01-04/2025-01-10
48,2025-01-13,AGL,577,595,2.55,2.4536,2.7428,3.7803921568627463,2.0,target,2.555,5.144032921810693,2.1339323840445314,3723149.8333333335,0,2.55,TRAIN,2025-01-11/2025-01-17
81,2025-01-13,NRGV,579,676,1.99,1.93,2.1100000000000003,3.015075376884425,-1.0321666666666665,stop,1.99,5.85106382978724,2.6910864969759385,1807392.6666666667,0,1.99,TRAIN,2025-01-11/2025-01-17
75,2025-01-13,LABD,581,695,7.98,7.7799,8.380200000000002,2.5075187969924917,-1.0388800599700152,stop,7.969,5.131926121372032,3.667513525462486,20998450.166666668,1,7.98,TRAIN,2025-01-11/2025-01-17
78,2025-01-13,METC,584,740,9.3492,9.065,9.9176,3.0398322851153066,-1.0318965517241367,stop,9.35,5.0561797752809,3.1137496247373164,555166.6666666666,0,9.3492,TRAIN,2025-01-11/2025-01-17
65,2025-01-13,BNED,598,779,10.67,10.3572,11.2956,2.931583880037482,2.0,target,10.625,5.198019801980203,1.9284905663758165,727705.1666666666,0,10.67,TRAIN,2025-01-11/2025-01-17
69,2025-01-13,DHX,681,900,2.17,2.13,2.25,1.843317972350232,1.2500000000000056,eod,2.18,6.341463414634174,1.0226954535023045,276305.3333333333,0,2.17,TRAIN,2025-01-11/2025-01-17
102,2025-01-13,VSEE,696,714,1.4,1.37,1.4599999999999995,2.142857142857129,2.0,target,1.4,5.263157894736836,2.5162421904162176,129042.66666666669,0,1.4,TRAIN,2025-01-11/2025-01-17
84,2025-01-13,PAYS,717,859,3.07,3.025,3.16,1.4657980456026036,-1.0672222222222236,stop,3.08,5.841924398625431,3.2605017180203424,288730.1666666667,0,3.07,TRAIN,2025-01-11/2025-01-17
133,2025-01-14,PLUG,577,590,2.9497,2.89,3.0691,2.02393463742075,-1.0484087102177528,stop,2.97,5.319148936170226,2.1553148700045424,87307962.57142857,0,2.9497,TRAIN,2025-01-11/2025-01-17
152,2025-01-14,ZENA,577,586,5.54,5.465,5.69,1.3537906137184148,-1.4058666666666602,stop,5.58,5.283018867924527,1.201143441486364,1037969.2857142856,0,5.54,TRAIN,2025-01-11/2025-01-17
107,2025-01-14,ASPI,578,621,5.14,4.94,5.539999999999998,3.8910505836575737,-1.024700000000002,stop,5.14,5.327868852459017,3.6873488272652826,1955131.0,0,5.14,TRAIN,2025-01-11/2025-01-17
148,2025-01-14,USIO,578,671,2.28,2.194,2.4519999999999995,3.771929824561397,-1.0719767441860482,stop,2.28,6.04651162790697,1.3503058769913243,1632519.0,0,2.28,TRAIN,2025-01-11/2025-01-17
134,2025-01-14,PTLO,586,613,11.17,10.86,11.79,2.7752909579230125,2.0,target,11.2,8.94941634241244,4.493968699085372,1668087.5714285714,0,11.17,TRAIN,2025-01-11/2025-01-17
117,2025-01-14,ILLR,592,635,2.5261,2.451,2.6763,2.97296227386089,-1.0326364846870866,stop,2.54,8.547008547008561,2.3346768033544425,570150.7142857143,0,2.5261,TRAIN,2025-01-11/2025-01-17
127,2025-01-14,NCTY,613,664,15.29,14.95,15.97,2.223675604970568,-1.043970588235296,stop,15.29,5.085910652920944,2.820371705095229,134310.0,0,15.29,TRAIN,2025-01-11/2025-01-17
129,2025-01-14,NRXP,621,626,5.25,5.13,5.49,2.285714285714288,-1.261697500000002,stop,5.3299,10.349896480331267,1.0820262262413285,4691751.285714285,0,5.25,TRAIN,2025-01-11/2025-01-17
175,2025-01-15,DOGZ,578,620,43.51,42.41,45.71,2.528154447253508,2.0,target,43.85,5.662650602409647,3.7265986059264375,373061.375,0,43.51,TRAIN,2025-01-11/2025-01-17
221,2025-01-15,SEZL,584,955,256.2629,246.27,276.2487,3.8994719875565256,0.2054358594602191,eod,254.95,5.407863728449169,3.087944175975281,126540.5,0,256.2629,TRAIN,2025-01-11/2025-01-17
197,2025-01-15,NNOX,586,599,8.35,8.15,8.749999999999998,2.3952095808383147,2.0,target,8.335,5.506329113924058,1.661081627693734,5992221.25,0,8.35,TRAIN,2025-01-11/2025-01-17
155,2025-01-15,ADPT,587,900,6.88,6.6801,7.279799999999999,2.9055232558139465,1.550775387693853,eod,6.89,8.503937007874018,2.853497575634416,1543822.625,0,6.88,TRAIN,2025-01-11/2025-01-17
208,2025-01-15,PERF,599,602,2.455,2.425,2.515000000000001,1.2219959266802545,-1.0808333333333366,stop,2.499,5.000000000000004,2.5215273100991467,307827.75,0,2.455,TRAIN,2025-01-11/2025-01-17
227,2025-01-15,TDUP,604,791,2.11,2.07,2.19,1.8957345971564,2.0,target,2.15,7.499999999999996,4.941326030149383,1958560.625,0,2.11,TRAIN,2025-01-11/2025-01-17
182,2025-01-15,HTCO,620,622,4.155,4.0489,4.367200000000001,2.553549939831541,-1.121960414703105,stop,4.1406,12.211382113821134,4.393793463685164,163715.0,0,4.155,TRAIN,2025-01-11/2025-01-17
207,2025-01-15,OUST,622,631,12.04,11.88,12.359999999999996,1.3289036544850363,-1.0742499999999986,stop,12.03,5.065502183406112,2.565104853772064,2218964.375,0,12.04,TRAIN,2025-01-11/2025-01-17
284,2025-01-16,REKR,579,588,1.645,1.58,1.775,3.951367781155012,-1.024307692307691,stop,1.64,5.806451612903207,1.5160663514857835,11498441.333333334,0,1.645,TRAIN,2025-01-11/2025-01-17
267,2025-01-16,LVO,580,584,1.2146,1.19,1.2637999999999998,2.025358142598382,-1.4544715447154466,stop,1.2092,5.147826086956542,2.7191412707473117,374713.8888888889,0,1.2146,TRAIN,2025-01-11/2025-01-17
237,2025-01-16,ACHR,581,582,9.21,9.031,9.568,1.9435396308360504,-1.0504525139664818,stop,9.24,5.000000000000004,3.2695863404172485,36303812.66666666,0,9.21,TRAIN,2025-01-11/2025-01-17
